nb;contract;udf_ref;fmly;grp;type;country;udf_name;num_value;string_value;date_value;data_timestamp_part;data_date_part;source_system
444444;3333;28786653;IRD;LN_BR;;ESP;M_CCY;NULL;;NULL;20201128041303;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_CRDTCHRG;30.000000000000;NULL;NULL;20210203032054;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_SELLER;NULL;LB_TLECLER;NULL;20210203032054;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_LIQDTYCHRG;50.000000000000;NULL;NULL;20210203032054;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_MVA;20;NULL;NULL;20210203032054;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_SUCURSAL;NULL;1999;NULL;20210203032054;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_RVA;0.000000000000;NULL;NULL;20210203032054;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_DIRECTIAV;0.000000000000;NULL;NULL;20210203032054;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_CLIENT;NULL;CCMO;NULL;20210203032054;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_DISCMARGIN;10;NULL;NULL;20210203032054;2020-12-30;Mx3EU
2222222;2222222;2222222;IRD;IRS;;ESP;M_CCY;NULL;USD;NULL;20210203032054;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_DISCMARGIN;0.000000000000;NULL;NULL;20200406103021;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_SUCURSAL;NULL;;NULL;20200406103021;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_RVA;0.000000000000;NULL;NULL;20200406103021;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_LIQDTYCHRG;0.000000000000;NULL;NULL;20200406103021;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_CRDTCHRG;0.000000000000;NULL;NULL;20200406103021;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_MVA;0.000000000000;NULL;NULL;20200406103021;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_SELLER;NULL;;NULL;20200406103021;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_CLIENT;NULL;;NULL;20200406103021;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_DIRECTIAV;0.000000000000;NULL;NULL;20200406103021;2020-12-30;Mx3EU
3815982;3672136;4951879;SCF;SCF;SCF;ESP;M_CCY;NULL;;NULL;20200406103021;2020-12-30;Mx3EU
8216817;4134354251;32143453;CURR;FXD;FXD;ESP;M_CCY;NULL;EUR;NULL;20210331035233;2020-12-30;Mx3EU
8216817;4134354251;32143453;CURR;FXD;FXD;ESP;M_DIRECTIAV;0.000000000000;;;20210331035233;2020-12-30;Mx3EU
8216817;4134354251;32143453;CURR;FXD;FXD;ESP;M_SELLER;NULL;AMAM;NULL;20210331035233;2020-12-30;Mx3EU
14773283;13940488;21807924;IRD;LN_BR;;ESP;M_DISCMARGIN;200;NULL;NULL;20200406103021;2020-12-30;Mx3EU
14773283;13940488;21807924;IRD;LN_BR;;ESP;M_CLIENT;NULL;NULL;NULL;20200406103021;2020-12-30;Mx3EU
14773283;13940488;21807924;IRD;LN_BR;;ESP;M_RVA;5;NULL;NULL;20200406103021;2020-12-30;Mx3EU
14773283;13940488;21807924;IRD;LN_BR;;ESP;M_LIQDTYCHRG;10;NULL;NULL;20200406103021;2020-12-30;Mx3EU
14773283;13940488;21807924;IRD;LN_BR;;ESP;M_CRDTCHRG;10;NULL;NULL;20200406103021;2020-12-30;Mx3EU
