mfamily;mgroup;mtype;origin_trade_number;origin_contract_number;maturity
IRD;BOND;;316391872;678876251;2021-09-22
CURR;FXD;FXD;32734782;54853428;2021-09-22
IRD;LN_BR;;1111;2222;2022-10-06
IRD;IRS;;2222222;2222222;2024-10-15
SCF;SCF;SCF;3815982;3672136;NULL
IRD;LN_BR;;14596583;13774383;2020-12-29
IRD;IRS;;18343978;17356077;2024-10-15
IRD;LN_BR;;19203839;18176215;2022-10-06
IRD;CF;;20513130;19433281;2021-07-06
IRD;CF;;20533916;19453781;2023-07-06
IRD;IRS;;21183317;20077630;2040-07-13
IRD;IRS;;33333333;33333333;2024-10-15
IRD;IRS;;111222333;111222333;2024-10-15
IRD;IRS;;222333111;222333111;2020-12-30
IRD;IRS;;333111222;333111222;2020-12-12
IRD;IRS;;444111222;444111222;NULL
IRD;IRS;;555111222;555111222;NULL
IRD;IRS;;564367838;564367838;2024-10-15
IRD;IRS;;556111214;556111214;NULL
EQD;EQUIT;FWD;10000001;10000001;2019-07-02
IRD;BOND;FWD;10000009;10000009;2021-06-12
CURR;FXD;SWLEG;19665185;18622136;2020-04-29
CURR;FXD;SWLEG;19665186;18622136;2020-12-30
CURR;FXD;SWLEG;19772399;18724280;NULL
CURR;FXD;SWLEG;19772400;18724280;2021-11-05
CURR;FXD;SWLEG;20980932;19883451;NULL
CURR;FXD;SWLEG;20980933;19883451;NULL
CURR;FXD;SWLEG;22798004;21622649;NULL
CURR;FXD;SWLEG;22798005;21622649;NULL
CURR;FXD;SWLEG;20665177;19622128;2020-04-29
CURR;FXD;SWLEG;20665178;19622128;2020-12-30
