mfamily;mgroup;mtype;origin_trade_number;origin_contract_number;maturity
CURR;FXD;SWLEG;19665185;18622136;2020-04-29
CURR;FXD;SWLEG;19665186;18622136;2020-12-30
CURR;FXD;SWLEG;19772399;18724280;2020-11-05
CURR;FXD;SWLEG;19772400;18724280;2021-11-05
CURR;FXD;SWLEG;20980932;19883451;2020-02-02
CURR;FXD;SWLEG;20980933;19883451;2020-01-19
CURR;FXD;SWLEG;22798004;21622649;2021-05-04
CURR;FXD;SWLEG;22798005;21622649;2021-05-11
CURR;FXD;SWLEG;20665177;19622128;2020-04-29
CURR;FXD;SWLEG;20665178;19622128;2020-12-30
